t,surface,4mm,diameter
5,38.3,40.29,6
6,38.5,40.96,6
7,38.5,41.63,6
8,38.6,42.3,6
9,38.7,42.97,6
10,38.8,43.63,6
11,38.8,44.28,6
12,38.9,44.92,6
13,38.9,45.56,6
14,39,46.19,6
15,39.1,46.8,6
16,39.1,47.41,6
17,39.1,48.01,6
18,39.2,48.6,6
19,39.2,49.17,6
20,39.3,49.74,6
21,39.3,50.3,6
22,39.3,50.84,6
23,39.4,51.38,6
24,39.4,51.91,6
25,39.4,52.43,6
26,39.5,52.94,6
27,39.5,53.44,6
28,39.5,53.93,6
29,39.6,54.41,6
30,39.6,54.89,6
31,39.6,55.35,6
32,39.6,55.81,6
33,39.7,56.26,6
34,39.7,56.71,6
35,39.7,57.14,6
36,39.7,57.57,6
37,39.8,58,6
38,39.8,58.41,6
39,39.8,58.82,6
40,39.8,59.23,6
41,39.8,59.62,6
42,39.9,60.01,6
43,39.9,60.4,6
44,39.9,60.78,6
45,39.9,61.15,6
46,39.9,61.52,6
47,40,61.88,6
48,40,62.24,6
49,40,62.59,6
50,40,62.94,6
51,40,63.28,6
52,40,63.62,6
53,40.1,63.96,6
54,40.1,64.28,6
55,40.1,64.61,6
56,40.1,64.93,6
57,40.1,65.25,6
58,40.1,65.56,6
59,40.2,65.87,6
60,40.2,66.17,6
61,40.2,66.47,6
62,40.2,66.77,6
63,40.2,67.06,6
64,40.2,67.35,6
65,40.2,67.64,6
66,40.3,67.92,6
67,40.3,68.2,6
68,40.3,68.48,6
69,40.3,68.75,6
70,40.3,69.02,6
71,40.3,69.29,6
72,40.3,69.55,6
73,40.3,69.81,6
74,40.4,70.07,6
75,40.4,70.32,6
76,40.4,70.58,6
77,40.4,70.82,6
78,40.4,71.07,6
79,40.4,71.32,6
80,40.4,71.56,6
81,40.4,71.8,6
82,40.4,72.03,6
83,40.5,72.27,6
84,40.5,72.5,6
85,40.5,72.73,6
86,40.5,72.95,6
87,40.5,73.18,6
88,40.5,73.4,6
89,40.5,73.62,6
90,40.5,73.84,6
91,40.5,74.05,6
92,40.5,74.27,6
93,40.6,74.48,6
94,40.6,74.69,6
95,40.6,74.9,6
96,40.6,75.1,6
97,40.6,75.3,6
98,40.6,75.51,6
99,40.6,75.71,6
100,40.6,75.9,6
101,40.6,76.1,6
102,40.6,76.29,6
103,40.6,76.49,6
104,40.7,76.68,6
105,40.7,76.87,6
106,40.7,77.05,6
107,40.7,77.24,6
108,40.7,77.42,6
109,40.7,77.61,6
110,40.7,77.79,6
111,40.7,77.97,6
112,40.7,78.14,6
113,40.7,78.32,6
114,40.7,78.49,6
115,40.7,78.67,6
116,40.7,78.84,6
117,40.8,79.01,6
118,40.8,79.18,6
119,40.8,79.35,6
120,40.8,79.51,6
121,40.8,79.68,6
122,40.8,79.84,6
123,40.8,80,6
124,40.8,80.16,6
125,40.8,80.32,6
126,40.8,80.48,6
127,40.8,80.64,6
128,40.8,80.79,6
129,40.8,80.95,6
130,40.8,81.1,6
131,40.9,81.25,6
132,40.9,81.4,6
133,40.9,81.55,6
134,40.9,81.7,6
135,40.9,81.85,6
136,40.9,82,6
137,40.9,82.14,6
138,40.9,82.29,6
139,40.9,82.43,6
140,40.9,82.57,6
141,40.9,82.71,6
142,40.9,82.85,6
143,40.9,82.99,6
144,40.9,83.13,6
145,40.9,83.26,6
146,40.9,83.4,6
147,40.9,83.53,6
148,41,83.67,6
149,41,83.8,6
150,41,83.93,6
151,41,84.06,6
152,41,84.19,6
153,41,84.32,6
154,41,84.45,6
155,41,84.58,6
156,41,84.7,6
157,41,84.83,6
158,41,84.95,6
159,41,85.08,6
160,41,85.2,6
161,41,85.32,6
162,41,85.44,6
163,41,85.56,6
164,41,85.68,6
165,41,85.8,6
166,41,85.92,6
167,41.1,86.04,6
168,41.1,86.15,6
169,41.1,86.27,6
170,41.1,86.38,6
171,41.1,86.5,6
172,41.1,86.61,6
173,41.1,86.72,6
174,41.1,86.83,6
175,41.1,86.94,6
176,41.1,87.05,6
177,41.1,87.16,6
178,41.1,87.27,6
179,41.1,87.38,6
180,41.1,87.49,6
1,37.51,37.5,7
2,37.72,38,7
3,37.86,38.5,7
4,37.98,39.01,7
5,38.08,39.52,7
6,38.16,40.03,7
7,38.24,40.54,7
8,38.3,41.05,7
9,38.36,41.56,7
10,38.42,42.07,7
11,38.47,42.58,7
12,38.52,43.09,7
13,38.57,43.59,7
14,38.61,44.09,7
15,38.65,44.58,7
16,38.69,45.07,7
17,38.73,45.56,7
18,38.76,46.04,7
19,38.8,46.51,7
20,38.83,46.98,7
21,38.86,47.44,7
22,38.89,47.89,7
23,38.92,48.34,7
24,38.95,48.78,7
25,38.97,49.22,7
26,39,49.65,7
27,39.03,50.08,7
28,39.05,50.49,7
29,39.07,50.91,7
30,39.1,51.31,7
31,39.12,51.71,7
32,39.14,52.11,7
33,39.16,52.5,7
34,39.18,52.88,7
35,39.2,53.26,7
36,39.22,53.63,7
37,39.24,54,7
38,39.26,54.37,7
39,39.28,54.72,7
40,39.3,55.08,7
41,39.31,55.43,7
42,39.33,55.77,7
43,39.35,56.11,7
44,39.36,56.44,7
45,39.38,56.77,7
46,39.39,57.1,7
47,39.41,57.42,7
48,39.43,57.74,7
49,39.44,58.05,7
50,39.45,58.36,7
51,39.47,58.67,7
52,39.48,58.97,7
53,39.5,59.27,7
54,39.51,59.56,7
55,39.52,59.86,7
56,39.54,60.14,7
57,39.55,60.43,7
58,39.56,60.71,7
59,39.57,60.98,7
60,39.59,61.26,7
61,39.6,61.53,7
62,39.61,61.8,7
63,39.62,62.06,7
64,39.63,62.32,7
65,39.65,62.58,7
66,39.66,62.84,7
67,39.67,63.09,7
68,39.68,63.34,7
69,39.69,63.59,7
70,39.7,63.83,7
71,39.71,64.08,7
72,39.72,64.32,7
73,39.73,64.55,7
74,39.74,64.79,7
75,39.75,65.02,7
76,39.76,65.25,7
77,39.77,65.48,7
78,39.78,65.7,7
79,39.79,65.93,7
80,39.8,66.15,7
81,39.81,66.36,7
82,39.82,66.58,7
83,39.82,66.79,7
84,39.83,67.01,7
85,39.84,67.22,7
86,39.85,67.42,7
87,39.86,67.63,7
88,39.87,67.83,7
89,39.88,68.03,7
90,39.88,68.23,7
91,39.89,68.43,7
92,39.9,68.63,7
93,39.91,68.82,7
94,39.92,69.02,7
95,39.92,69.21,7
96,39.93,69.4,7
97,39.94,69.58,7
98,39.95,69.77,7
99,39.95,69.95,7
100,39.96,70.13,7
101,39.97,70.31,7
102,39.98,70.49,7
103,39.98,70.67,7
104,39.99,70.85,7
105,40,71.02,7
106,40,71.19,7
107,40.01,71.37,7
108,40.02,71.54,7
109,40.02,71.7,7
110,40.03,71.87,7
111,40.04,72.04,7
112,40.04,72.2,7
113,40.05,72.36,7
114,40.06,72.52,7
115,40.06,72.68,7
116,40.07,72.84,7
117,40.08,73,7
118,40.08,73.16,7
119,40.09,73.31,7
120,40.09,73.47,7
121,40.1,73.62,7
122,40.11,73.77,7
123,40.11,73.92,7
124,40.12,74.07,7
125,40.12,74.22,7
126,40.13,74.36,7
127,40.14,74.51,7
128,40.14,74.65,7
129,40.15,74.8,7
130,40.15,74.94,7
131,40.16,75.08,7
132,40.16,75.22,7
133,40.17,75.36,7
134,40.17,75.49,7
