t,Surface,vessel,distance,POI
24,39.76,8,0,49.89
25,39.8,8,0,50.18
26,39.84,8,0,50.47
27,39.88,8,0,50.76
28,39.92,8,0,51.03
29,39.95,8,0,51.3
30,39.99,8,0,51.56
31,40.02,8,0,51.81
32,40.06,8,0,52.06
33,40.09,8,0,52.3
34,40.12,8,0,52.53
35,40.15,8,0,52.76
36,40.18,8,0,52.99
37,40.21,8,0,53.21
38,40.24,8,0,53.42
39,40.27,8,0,53.63
40,40.29,8,0,53.84
41,40.32,8,0,54.04
42,40.35,8,0,54.24
43,40.37,8,0,54.44
44,40.4,8,0,54.63
45,40.42,8,0,54.81
46,40.45,8,0,55
47,40.47,8,0,55.18
48,40.49,8,0,55.35
49,40.52,8,0,55.53
50,40.54,8,0,55.7
51,40.56,8,0,55.87
52,40.58,8,0,56.03
53,40.6,8,0,56.19
54,40.62,8,0,56.35
55,40.65,8,0,56.51
56,40.67,8,0,56.67
57,40.69,8,0,56.82
58,40.7,8,0,56.97
59,40.72,8,0,57.11
60,40.74,8,0,57.26
61,40.76,8,0,57.4
62,40.78,8,0,57.54
63,40.8,8,0,57.68
64,40.82,8,0,57.82
65,40.83,8,0,57.96
66,40.85,8,0,58.09
67,40.87,8,0,58.22
68,40.88,8,0,58.35
69,40.9,8,0,58.48
70,40.92,8,0,58.6
71,40.93,8,0,58.73
72,40.95,8,0,58.85
73,40.97,8,0,58.97
74,40.98,8,0,59.09
75,41,8,0,59.21
76,41.01,8,0,59.33
77,41.03,8,0,59.44
78,41.04,8,0,59.55
79,41.06,8,0,59.67
80,41.07,8,0,59.78
81,41.08,8,0,59.89
82,41.1,8,0,60
83,41.11,8,0,60.1
84,41.13,8,0,60.21
85,41.14,8,0,60.31
86,41.15,8,0,60.42
87,41.17,8,0,60.52
88,41.18,8,0,60.62
89,41.19,8,0,60.72
90,41.2,8,0,60.82
1,37.82,8,1,38.08
2,38.19,8,1,39.15
3,38.45,8,1,40.16
4,38.65,8,1,41.1
5,38.82,8,1,41.98
6,38.97,8,1,42.78
7,39.09,8,1,43.53
8,39.21,8,1,44.23
9,39.32,8,1,44.88
10,39.41,8,1,45.5
11,39.5,8,1,46.08
12,39.58,8,1,46.62
13,39.66,8,1,47.14
14,39.73,8,1,47.64
15,39.8,8,1,48.11
16,39.87,8,1,48.55
17,39.93,8,1,48.98
18,39.99,8,1,49.4
19,40.04,8,1,49.79
20,40.1,8,1,50.17
21,40.15,8,1,50.54
22,40.2,8,1,50.89
23,40.25,8,1,51.24
24,40.29,8,1,51.57
25,40.33,8,1,51.89
26,40.38,8,1,52.2
27,40.42,8,1,52.5
28,40.46,8,1,52.79
29,40.5,8,1,53.07
30,40.53,8,1,53.35
31,40.57,8,1,53.62
32,40.61,8,1,53.88
33,40.64,8,1,54.14
34,40.67,8,1,54.38
35,40.71,8,1,54.63
36,40.74,8,1,54.86
37,40.77,8,1,55.09
38,40.8,8,1,55.32
39,40.83,8,1,55.54
40,40.86,8,1,55.76
41,40.88,8,1,55.97
42,40.91,8,1,56.17
43,40.94,8,1,56.38
44,40.96,8,1,56.57
45,40.99,8,1,56.77
46,41.02,8,1,56.96
47,41.04,8,1,57.14
48,41.06,8,1,57.33
49,41.09,8,1,57.51
50,41.11,8,1,57.68
51,41.13,8,1,57.86
52,41.16,8,1,58.03
53,41.18,8,1,58.19
54,41.2,8,1,58.36
55,41.22,8,1,58.52
56,41.24,8,1,58.68
57,41.26,8,1,58.83
58,41.28,8,1,58.99
59,41.3,8,1,59.14
60,41.32,8,1,59.29
61,41.34,8,1,59.43
62,41.36,8,1,59.58
63,41.38,8,1,59.72
64,41.4,8,1,59.86
65,41.41,8,1,60
66,41.43,8,1,60.13
67,41.45,8,1,60.27
68,41.47,8,1,60.4
69,41.48,8,1,60.53
70,41.5,8,1,60.65
71,41.52,8,1,60.78
72,41.53,8,1,60.91
73,41.55,8,1,61.03
74,41.56,8,1,61.15
75,41.58,8,1,61.27
76,41.59,8,1,61.39
77,41.61,8,1,61.5
78,41.62,8,1,61.62
79,41.64,8,1,61.73
80,41.65,8,1,61.84
81,41.67,8,1,61.95
82,41.68,8,1,62.06
83,41.69,8,1,62.17
84,41.71,8,1,62.28
85,41.72,8,1,62.38
86,41.74,8,1,62.49
87,41.75,8,1,62.59
88,41.76,8,1,62.69
89,41.77,8,1,62.79
90,41.79,8,1,62.89
1,40.6,8,2,39.76
2,41.81,8,2,42.51
3,42.58,8,2,45.08
4,43.13,8,2,47.4
5,43.57,8,2,49.49
6,43.93,8,2,51.36
7,44.23,8,2,53.05
8,44.5,8,2,54.58
9,44.73,8,2,55.99
10,44.94,8,2,57.28
11,45.12,8,2,58.48
12,45.29,8,2,59.59
13,45.45,8,2,60.63
14,45.6,8,2,61.6
15,45.73,8,2,62.51
16,45.86,8,2,63.38
17,45.97,8,2,64.19
18,46.08,8,2,64.96
19,46.19,8,2,65.7
20,46.29,8,2,66.4
21,46.38,8,2,67.07
22,46.47,8,2,67.7
23,46.55,8,2,68.31
24,46.63,8,2,68.9
25,46.71,8,2,69.46
26,46.79,8,2,70
27,46.86,8,2,70.53
28,46.92,8,2,71.03
29,46.99,8,2,71.51
30,47.05,8,2,71.98
31,47.11,8,2,72.43
32,47.17,8,2,72.87
33,47.23,8,2,73.3
34,47.29,8,2,73.71
35,47.34,8,2,74.11
36,47.39,8,2,74.5
37,47.44,8,2,74.87
38,47.49,8,2,75.24
39,47.54,8,2,75.6
40,47.58,8,2,75.94
41,47.63,8,2,76.28
42,47.67,8,2,76.61
43,47.71,8,2,76.93
44,47.75,8,2,77.25
45,47.79,8,2,77.55
46,47.83,8,2,77.85
47,47.87,8,2,78.14
48,47.91,8,2,78.43
49,47.95,8,2,78.71
50,47.98,8,2,78.98
51,48.02,8,2,79.24
52,48.05,8,2,79.51
53,48.08,8,2,79.76
54,48.12,8,2,80.01
55,48.15,8,2,80.26
56,48.18,8,2,80.5
57,48.21,8,2,80.73
58,48.24,8,2,80.96
59,48.27,8,2,81.19
60,48.3,8,2,81.41
61,48.33,8,2,81.63
62,48.35,8,2,81.84
63,48.38,8,2,82.06
64,48.41,8,2,82.26
65,48.43,8,2,82.46
66,48.46,8,2,82.66
67,48.48,8,2,82.86
68,48.51,8,2,83.05
69,48.53,8,2,83.24
70,48.56,8,2,83.43
71,48.58,8,2,83.61
72,48.61,8,2,83.79
73,48.63,8,2,83.97
74,48.65,8,2,84.14
75,48.67,8,2,84.32
76,48.69,8,2,84.49
77,48.72,8,2,84.65
78,48.74,8,2,84.82
79,48.76,8,2,84.98
80,48.78,8,2,85.14
81,48.8,8,2,85.29
82,48.82,8,2,85.45
83,48.84,8,2,85.6
84,48.86,8,2,85.75
85,48.88,8,2,85.9
86,48.89,8,2,86.05
87,48.91,8,2,86.19
88,48.93,8,2,86.33
89,48.95,8,2,86.47
90,48.97,8,2,86.61
1,38.39,8,3,38.55
2,38.96,8,3,40.08
3,39.35,8,3,41.53
4,39.65,8,3,42.87
5,39.9,8,3,44.09
6,40.1,8,3,45.21
7,40.29,8,3,46.24
8,40.45,8,3,47.19
