t,Surface,vessel,distance,input,POI
9,40.73,5,1,40,51.81
10,40.85,5,1,40,53.14
11,40.96,5,1,40,54.41
12,41.06,5,1,40,55.61
13,41.15,5,1,40,56.76
14,41.24,5,1,40,57.86
15,41.32,5,1,40,58.92
16,41.40,5,1,40,59.93
17,41.47,5,1,40,60.90
18,41.54,5,1,40,61.83
19,41.60,5,1,40,62.73
20,41.66,5,1,40,63.60
21,41.72,5,1,40,64.43
22,41.78,5,1,40,65.24
23,41.84,5,1,40,66.02
24,41.89,5,1,40,66.78
25,41.94,5,1,40,67.51
26,41.99,5,1,40,68.22
27,42.03,5,1,40,68.91
28,42.08,5,1,40,69.58
29,42.12,5,1,40,70.23
30,42.16,5,1,40,70.87
31,42.21,5,1,40,71.49
32,42.25,5,1,40,72.09
33,42.28,5,1,40,72.67
34,42.32,5,1,40,73.25
35,42.36,5,1,40,73.80
36,42.39,5,1,40,74.35
37,42.43,5,1,40,74.88
38,42.46,5,1,40,75.40
39,42.49,5,1,40,75.91
40,42.53,5,1,40,76.41
41,42.56,5,1,40,76.89
42,42.59,5,1,40,77.37
43,42.62,5,1,40,77.84
44,42.65,5,1,40,78.29
45,42.67,5,1,40,78.74
46,42.70,5,1,40,79.18
47,42.73,5,1,40,79.61
48,42.76,5,1,40,80.04
49,42.78,5,1,40,80.45
50,42.81,5,1,40,80.86
51,42.83,5,1,40,81.26
52,42.86,5,1,40,81.65
53,42.88,5,1,40,82.04
54,42.91,5,1,40,82.42
55,42.93,5,1,40,82.79
56,42.95,5,1,40,83.16
57,42.97,5,1,40,83.52
58,43.00,5,1,40,83.88
59,43.02,5,1,40,84.23
60,43.04,5,1,40,84.57
61,43.06,5,1,40,84.91
62,43.08,5,1,40,85.24
63,43.10,5,1,40,85.57
64,43.12,5,1,40,85.90
65,43.14,5,1,40,86.21
66,43.16,5,1,40,86.53
67,43.18,5,1,40,86.84
68,43.20,5,1,40,87.14
69,43.21,5,1,40,87.44
70,43.23,5,1,40,87.74
71,43.25,5,1,40,88.03
72,43.27,5,1,40,88.32
73,43.29,5,1,40,88.61
74,43.30,5,1,40,88.89
75,43.32,5,1,40,89.17
76,43.34,5,1,40,89.44
77,43.35,5,1,40,89.71
78,43.37,5,1,40,89.98
79,43.38,5,1,40,90.24
80,43.40,5,1,40,90.50
81,43.42,5,1,40,90.76
82,43.43,5,1,40,91.01
83,43.45,5,1,40,91.26
84,43.46,5,1,40,91.51
85,43.48,5,1,40,91.75
86,43.49,5,1,40,91.99
